Trial Number: 10, Triangles counted: 13, real number: 15
Trial Number: 20, Triangles counted: 13, real number: 13
Trial Number: 30, Triangles counted: 8, real number: 9
Trial Number: 40, Triangles counted: 9, real number: 10
Trial Number: 50, Triangles counted: 12, real number: 14
Trial Number: 60, Triangles counted: 14, real number: 15
Trial Number: 70, Triangles counted: 14, real number: 14
Trial Number: 80, Triangles counted: 12, real number: 13
Trial Number: 90, Triangles counted: 11, real number: 11
Trial Number: 100, Triangles counted: 7, real number: 10
Trial Number: 110, Triangles counted: 14, real number: 15
Trial Number: 120, Triangles counted: 10, real number: 11
"TRIANGLE_PROBABILITY","acc","accuracy","asym_path","attribute","average_response_time","avg_rt","background","bg_color","canvas_backend","cb_index","clock_backend","color_backend","correct","correct_instructions","correct_welcome","count_calibration","count_exit","count_first_sequence","count_first_trial_loop","count_fixation_point_inline_script","count_fixation_pygaze_log","count_full_experiment","count_image_inline_script","count_image_pygaze_log","count_instructions","count_logger","count_new_1_form_base","count_new_form_base","count_new_form_text_input","count_new_pygaze_log","count_new_sketchpad","count_pause_and_recalibration_inline_script","count_pygaze_start_recording","count_pygaze_stop_recording","count_triangle_count_init","count_triangle_count_script","count_triangle_instruction","count_triangle_response","count_triangles_count_log","count_welcome","currently_fixated","datetime","description","disable_garbage_collection","dist","experiment_file","experiment_path","fixated","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","img_left","img_left_path","img_right","img_right_path","initial_fixation_time","keyboard_backend","live_row","live_row_first_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","required_fixation_time","response","response_exit","response_instructions","response_new_sketchpad","response_time","response_time_exit","response_time_instructions","response_time_new_sketchpad","response_time_triangle_instruction","response_time_triangle_response","response_time_welcome","response_triangle_instruction","response_triangle_response","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","sym_path","t0","target_image","target_index","target_size","time_calibration","time_exit","time_first_sequence","time_first_trial_loop","time_fixation_point_inline_script","time_fixation_pygaze_log","time_full_experiment","time_image_inline_script","time_image_pygaze_log","time_instructions","time_logger","time_new_1_form_base","time_new_form_base","time_new_form_text_input","time_new_pygaze_log","time_new_sketchpad","time_pause_and_recalibration_inline_script","time_pygaze_start_recording","time_pygaze_stop_recording","time_triangle_count_init","time_triangle_count_script","time_triangle_instruction","time_triangle_response","time_triangles_count_log","time_welcome","timeout","title","total_correct","total_response_time","total_responses","trial_number","triangle_count","user_input","value","width","x","y"
"0.6","undefined","undefined","C:\Users\yarbus\Desktop\Team Elephant\Full_experiment\asym_right.png","none","undefined","undefined","#3d3846","#f5f416","psycho","baseline_urban-indoor_R","psycho","psycho","undefined","undefined","undefined","0","0","119","0","119","119","0","119","119","0","0","NA","NA","NA","119","NA","119","0","0","0","119","NA","NA","NA","0","True","Fri Jul 11 12:02:38 2025","The main experiment item","False","34.50603286383415",".opensesamerun-tmp.osexp","C:\Users\yarbus\Desktop\Team Elephant\Full_experiment","True","False","mono","False","18","no","white","no","Weiter","yes","1080","urban_042.jpg","C:\Users\yarbus\AppData\Local\Temp\tmpjenh3q61.opensesame_pool_2384\urban_053.jpg","indoor_060.jpg","C:\Users\yarbus\AppData\Local\Temp\tmpjenh3q61.opensesame_pool_2384\nature_089.jpg","1388439.6685000001","psycho","119","119","C:/Users/yarbus/Desktop/Team Elephant/Full_experiment/subject_data/subject_12/subject-12.csv","psycho","Melodramatic Milgram","4.0.37","0","2000","space","NA","space","NA","39386.76110000006","NA","39386.76110000006","NA","NA","NA","3655.785200000082","NA","NA","return","2","psycho","1024","2","48000","-16","full_experiment","12","even","C:\Users\yarbus\Desktop\Team Elephant\Full_experiment\sym_right.png","1387695.2294000003","img_right","0","0.75","7898.454399999991","NA","1387666.3374","205137.63580000022","1387680.2938","1387666.3936","4208.610800000315","1390693.3313000004","1390439.7683","150093.7696000001","1399434.7761000004","NA","NA","NA","1399324.1081","NA","1399324.0514000005","189481.11010000002","1399369.2857000001","205137.3080000003","1394784.0798000002","NA","NA","NA","4241.661100000329","10000","Attentional spatial bias","0","0","0","120","0","10","none","1920","951.6479999999999","506.52"
