Trial Number: 10, Triangles counted: 14, real number: 14
Trial Number: 20, Triangles counted: 13, real number: 16
Trial Number: 30, Triangles counted: 13, real number: 13
Trial Number: 40, Triangles counted: 9, real number: 7
Trial Number: 50, Triangles counted: 15, real number: 17
Trial Number: 60, Triangles counted: 13, real number: 12
Trial Number: 70, Triangles counted: 9, real number: 12
Trial Number: 80, Triangles counted: 12, real number: 13
Trial Number: 90, Triangles counted: 10, real number: 11
Trial Number: 100, Triangles counted: 15, real number: 16
Trial Number: 110, Triangles counted: 11, real number: 11
Trial Number: 120, Triangles counted: 11, real number: 11
"TRIANGLE_PROBABILITY","acc","accuracy","asym_path","attribute","average_response_time","avg_rt","background","bg_color","canvas_backend","cb_index","clock_backend","color_backend","correct","correct_instructions","correct_welcome","count_calibration","count_exit","count_first_sequence","count_first_trial_loop","count_fixation_point_inline_script","count_fixation_pygaze_log","count_full_experiment","count_image_inline_script","count_image_pygaze_log","count_instructions","count_logger","count_new_1_form_base","count_new_form_base","count_new_form_text_input","count_new_pygaze_log","count_new_sketchpad","count_pause_and_recalibration_inline_script","count_pygaze_start_recording","count_pygaze_stop_recording","count_triangle_count_init","count_triangle_count_script","count_triangle_instruction","count_triangle_response","count_triangles_count_log","count_welcome","currently_fixated","datetime","description","disable_garbage_collection","dist","experiment_file","experiment_path","fixated","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","img_left","img_left_path","img_right","img_right_path","initial_fixation_time","keyboard_backend","live_row","live_row_first_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","required_fixation_time","response","response_exit","response_instructions","response_new_sketchpad","response_time","response_time_exit","response_time_instructions","response_time_new_sketchpad","response_time_triangle_instruction","response_time_triangle_response","response_time_welcome","response_triangle_instruction","response_triangle_response","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","sym_path","t0","target_image","target_index","target_size","time_calibration","time_exit","time_first_sequence","time_first_trial_loop","time_fixation_point_inline_script","time_fixation_pygaze_log","time_full_experiment","time_image_inline_script","time_image_pygaze_log","time_instructions","time_logger","time_new_1_form_base","time_new_form_base","time_new_form_text_input","time_new_pygaze_log","time_new_sketchpad","time_pause_and_recalibration_inline_script","time_pygaze_start_recording","time_pygaze_stop_recording","time_triangle_count_init","time_triangle_count_script","time_triangle_instruction","time_triangle_response","time_triangles_count_log","time_welcome","timeout","title","total_correct","total_response_time","total_responses","trial_number","triangle_count","user_input","value","width","x","y"
"0.6","undefined","undefined","C:\Users\yarbus\Desktop\Team Elephant\Full_experiment\asym_left.png","size","undefined","undefined","#3d3846","#b52621","psycho","size_small_R","psycho","psycho","undefined","undefined","undefined","0","0","119","0","119","119","0","119","119","0","0","NA","NA","NA","119","NA","119","0","0","0","119","NA","NA","NA","0","True","Fri Jul 11 12:30:11 2025","The main experiment item","False","52.58236543328947",".opensesamerun-tmp.osexp","C:\Users\yarbus\Desktop\Team Elephant\Full_experiment","False","False","mono","False","18","no","white","no","Weiter","yes","1080","nature_046.jpg","C:\Users\yarbus\AppData\Local\Temp\tmpbfbccuvf.opensesame_pool_4904\indoor_099.jpg","urban_052.jpg","C:\Users\yarbus\AppData\Local\Temp\tmpbfbccuvf.opensesame_pool_4904\urban_019.jpg","1928517.9240000006","psycho","119","119","C:/Users/yarbus/Desktop/Team Elephant/Full_experiment/subject_data/subject_13/subject-13.csv","psycho","Melodramatic Milgram","4.0.37","0","2000","space","NA","space","NA","16425.827199999738","NA","16425.827199999738","NA","NA","NA","2793.7215000001743","NA","NA","space","2","psycho","1024","2","48000","-16","full_experiment","13","odd","C:\Users\yarbus\Desktop\Team Elephant\Full_experiment\sym_left.png","1919254.6678","img_right","1","0.25","6299.698900000294","NA","1919217.3595000005","103442.4766000002","1919231.0475000003","1919217.6109000002","3472.650700000486","1956710.6088","1956659.8714","85648.76820000063","1964614.0458999998","NA","NA","NA","1964504.3730000006","NA","1964504.3290000004","102075.38019999993","1964545.9788","103442.41779999994","1960786.9098","NA","NA","NA","3504.939899999954","10000","Attentional spatial bias","0","0","0","120","0","11","small","1920","1010.3616","555.12"
