trial_number,img_left,img_right,attribute,value,target_image,cb_index
1,indoor_008.jpg,urban_001.jpg,form,asymmetrical,img_left,form_asymmetrical_L
2,indoor_003.jpg,nature_006.jpg,form,symmetrical,img_right,form_symmetrical_R
3,nature_013.jpg,urban_003.jpg,size,small,img_right,size_small_R
4,urban_013.jpg,indoor_015.jpg,form,asymmetrical,img_right,form_asymmetrical_R
5,urban_005.jpg,indoor_011.jpg,size,big,img_left,size_big_L
6,indoor_003.jpg,nature_003.jpg,none,none,img_right,baseline_indoor-nature_R
7,urban_015.jpg,nature_005.jpg,background,contrary,img_right,background_contrary_R
8,indoor_001.jpg,urban_013.jpg,form,asymmetrical,img_right,form_asymmetrical_R
9,indoor_013.jpg,urban_001.jpg,form,asymmetrical,img_left,form_asymmetrical_L
10,indoor_007.jpg,nature_012.jpg,size,small,img_right,size_small_R
11,indoor_013.jpg,nature_008.jpg,size,small,img_right,size_small_R
12,nature_007.jpg,indoor_009.jpg,form,symmetrical,img_left,form_symmetrical_L
13,nature_013.jpg,indoor_003.jpg,size,small,img_right,size_small_R
14,urban_010.jpg,nature_010.jpg,size,small,img_right,size_small_R
15,indoor_015.jpg,nature_003.jpg,form,symmetrical,img_right,form_symmetrical_R
16,urban_011.jpg,nature_015.jpg,size,big,img_right,size_big_R
17,nature_008.jpg,urban_002.jpg,background,dominant,img_left,background_dominant_L
18,urban_003.jpg,nature_003.jpg,background,contrary,img_right,background_contrary_R
19,nature_003.jpg,urban_006.jpg,form,symmetrical,img_right,form_symmetrical_R
20,indoor_003.jpg,urban_008.jpg,background,contrary,img_right,background_contrary_R
21,indoor_012.jpg,nature_012.jpg,background,contrary,img_right,background_contrary_R
22,indoor_015.jpg,urban_014.jpg,background,dominant,img_left,background_dominant_L
23,urban_004.jpg,indoor_008.jpg,background,dominant,img_left,background_dominant_L
24,nature_002.jpg,urban_011.jpg,size,big,img_right,size_big_R
25,urban_007.jpg,nature_009.jpg,form,asymmetrical,img_right,form_asymmetrical_R
26,indoor_010.jpg,urban_010.jpg,none,none,img_left,baseline_indoor-urban_L
27,urban_006.jpg,indoor_009.jpg,form,symmetrical,img_right,form_symmetrical_R
28,nature_013.jpg,urban_013.jpg,none,none,img_right,baseline_nature-urban_L
29,nature_015.jpg,urban_014.jpg,background,dominant,img_left,background_dominant_L
30,nature_010.jpg,urban_002.jpg,form,asymmetrical,img_right,form_asymmetrical_R
31,nature_011.jpg,indoor_003.jpg,form,symmetrical,img_left,form_symmetrical_L
32,indoor_007.jpg,nature_011.jpg,background,dominant,img_left,background_dominant_L
33,indoor_011.jpg,urban_015.jpg,size,big,img_right,size_big_R
34,indoor_014.jpg,urban_009.jpg,background,contrary,img_left,background_contrary_L
35,urban_007.jpg,indoor_004.jpg,form,asymmetrical,img_right,form_asymmetrical_R
36,nature_012.jpg,indoor_010.jpg,form,asymmetrical,img_left,form_asymmetrical_L
37,indoor_013.jpg,urban_003.jpg,background,contrary,img_left,background_contrary_L
38,indoor_012.jpg,urban_012.jpg,none,none,img_left,baseline_indoor-urban_L
39,indoor_006.jpg,nature_001.jpg,size,small,img_left,size_small_L
40,nature_014.jpg,urban_013.jpg,size,big,img_right,size_big_R
41,nature_012.jpg,indoor_009.jpg,form,symmetrical,img_left,form_symmetrical_L
42,urban_014.jpg,indoor_004.jpg,size,small,img_left,size_small_L
43,urban_004.jpg,indoor_007.jpg,form,asymmetrical,img_left,form_asymmetrical_L
44,indoor_004.jpg,nature_004.jpg,none,none,img_right,baseline_indoor-nature_R
45,urban_008.jpg,indoor_001.jpg,form,asymmetrical,img_left,form_asymmetrical_L
46,urban_015.jpg,indoor_012.jpg,form,symmetrical,img_left,form_symmetrical_L
47,urban_013.jpg,indoor_002.jpg,background,dominant,img_left,background_dominant_L
48,urban_002.jpg,nature_010.jpg,form,asymmetrical,img_left,form_asymmetrical_L
49,nature_011.jpg,indoor_002.jpg,size,big,img_left,size_big_L
50,urban_013.jpg,nature_013.jpg,none,none,img_left,baseline_urban-nature_R
51,nature_001.jpg,urban_006.jpg,size,small,img_right,size_small_R
52,nature_008.jpg,indoor_013.jpg,size,small,img_left,size_small_L
53,urban_006.jpg,nature_009.jpg,form,symmetrical,img_right,form_symmetrical_R
54,urban_004.jpg,indoor_004.jpg,size,small,img_left,size_small_L
55,urban_004.jpg,indoor_005.jpg,size,big,img_left,size_big_L
56,urban_003.jpg,indoor_002.jpg,background,dominant,img_left,background_dominant_L
57,urban_015.jpg,indoor_015.jpg,background,contrary,img_left,background_contrary_L
58,nature_008.jpg,urban_012.jpg,size,big,img_right,size_big_R
59,nature_010.jpg,urban_012.jpg,form,symmetrical,img_left,form_symmetrical_L
60,nature_001.jpg,indoor_006.jpg,background,contrary,img_left,background_contrary_L
61,indoor_003.jpg,nature_015.jpg,form,symmetrical,img_left,form_symmetrical_L
62,nature_009.jpg,urban_009.jpg,none,none,img_right,baseline_nature-urban_L
63,urban_005.jpg,nature_009.jpg,size,big,img_right,size_big_R
