trial_number,img_left,img_right,attribute,value,target_image,cb_index
1,indoor_012.jpg,nature_028.jpg,none,none,img_right,baseline_indoor-nature_R
2,indoor_032.jpg,urban_059.jpg,none,none,img_left,baseline_indoor-urban_L
3,indoor_098.jpg,nature_048.jpg,none,none,img_right,baseline_indoor-nature_R
4,nature_052.jpg,urban_019.jpg,none,none,img_left,baseline_nature-urban_L
5,indoor_016.jpg,nature_034.jpg,none,none,img_right,baseline_indoor-nature_R
6,indoor_048.jpg,urban_094.jpg,none,none,img_right,baseline_indoor-urban_R
7,nature_091.jpg,urban_077.jpg,none,none,img_left,baseline_nature-urban_L
8,nature_017.jpg,urban_039.jpg,none,none,img_right,baseline_nature-urban_R
9,indoor_019.jpg,nature_009.jpg,none,none,img_left,baseline_indoor-nature_L
10,nature_007.jpg,urban_074.jpg,none,none,img_right,baseline_nature-urban_R
11,indoor_009.jpg,urban_022.jpg,none,none,img_right,baseline_indoor-urban_R
12,indoor_037.jpg,nature_011.jpg,none,none,img_left,baseline_indoor-nature_L
13,indoor_049.jpg,nature_041.jpg,none,none,img_left,baseline_indoor-nature_L
14,indoor_077.jpg,nature_056.jpg,none,none,img_left,baseline_indoor-nature_L
15,indoor_071.jpg,nature_066.jpg,none,none,img_right,baseline_indoor-nature_R
16,indoor_011.jpg,urban_004.jpg,none,none,img_left,baseline_indoor-urban_L
17,nature_030.jpg,urban_012.jpg,none,none,img_right,baseline_nature-urban_R
18,nature_018.jpg,urban_036.jpg,none,none,img_right,baseline_nature-urban_R
19,nature_075.jpg,urban_005.jpg,none,none,img_right,baseline_nature-urban_R
20,indoor_010.jpg,urban_089.jpg,none,none,img_left,baseline_indoor-urban_L
21,indoor_064.jpg,nature_031.jpg,none,none,img_left,baseline_indoor-nature_L
22,indoor_038.jpg,urban_002.jpg,none,none,img_right,baseline_indoor-urban_R
23,indoor_052.jpg,urban_057.jpg,none,none,img_left,baseline_indoor-urban_L
24,indoor_027.jpg,urban_065.jpg,none,none,img_right,baseline_indoor-urban_R
25,nature_098.jpg,urban_034.jpg,form,asymmetrical,img_right,form_asymmetrical_R
